act ID	person name ID	name-role	name sequence	name query indicator
4	1	B	1	FALSE
4	3	A	2	FALSE
4	5	R	1	FALSE
4	12	R	2	FALSE
4	141	A	1	FALSE
5	1	B	1	FALSE
5	3	R	2	FALSE
5	6	R	3	FALSE
5	8	R	5	FALSE
5	9	R	6	FALSE
5	141	R	1	FALSE
5	1253	R	4	FALSE
6	20	W	2	FALSE
6	65	R	1	FALSE
6	243	W	3	FALSE
6	291	R	6	FALSE
6	318	R	7	FALSE
6	320	R	9	FALSE
6	845	R	5	FALSE
6	1093	R	2	FALSE
6	1094	R	3	FALSE
6	1095	R	4	FALSE
6	1096	R	8	FALSE
6	1097	R	10	FALSE
6	1098	R	11	FALSE
6	1099	R	12	FALSE
6	1100	R	13	FALSE
6	1101	R	14	FALSE
6	1102	R	15	FALSE
6	1103	R	16	FALSE
6	1104	R	17	FALSE
6	1105	R	18	FALSE
6	1106	R	19	FALSE
6	1107	R	20	FALSE
6	1108	R	21	FALSE
6	1109	R	22	FALSE
6	1110	R	23	FALSE
6	1111	R	24	FALSE
6	1112	R	25	FALSE
6	1113	R	26	FALSE
6	1114	R	27	FALSE
6	1115	R	28	FALSE
6	1116	R	29	FALSE
6	1117	R	30	FALSE
6	1118	R	31	FALSE
6	1119	W	1	FALSE
6	1120	R	32	FALSE
6	1121	B	0	FALSE
7	22	B	0	FALSE
7	23	A	1	FALSE
7	24	A	2	FALSE
8	14	B	0	FALSE
8	21	A	1	FALSE
9	14	B	0	FALSE
9	20	W	1	FALSE
10	7	B	1	FALSE
10	10	A	1	FALSE
10	11	A	2	FALSE
10	12	R	3	FALSE
11	7	B	1	FALSE
11	11	A	2	FALSE
11	12	R	3	FALSE
11	13	A	1	FALSE
12	12	R	2	FALSE
12	14	B	1	FALSE
12	15	A	1	FALSE
12	16	A	2	FALSE
12	17	A	3	FALSE
12	1015	R	1	FALSE
13	14	B	1	FALSE
13	15	A	1	FALSE
13	16	A	2	FALSE
13	19	R	2	FALSE
13	1015	R	1	FALSE
14	2	R	2	FALSE
14	25	B	1	FALSE
14	26	R	1	FALSE
14	27	R	3	FALSE
14	29	R	5	FALSE
14	30	R	6	TRUE
14	31	W	1	FALSE
14	32	W	2	FALSE
14	33	W	3	FALSE
14	34	W	4	FALSE
14	35	W	5	FALSE
14	36	W	6	FALSE
14	37	W	7	FALSE
14	38	W	8	FALSE
14	4558	R	4	FALSE
15	12	R	2	FALSE
15	39	B	0	TRUE
15	40	R	1	FALSE
16	41	B	0	FALSE
16	488	W	1	FALSE
17	23	W	1	FALSE
17	41	B	0	FALSE
17	100	A	1	FALSE
18	23	W	1	FALSE
18	41	B	0	FALSE
18	100	A	1	FALSE
18	488	W	2	FALSE
19	15	A	1	FALSE
19	41	B	0	FALSE
19	488	W	1	FALSE
20	15	A	1	FALSE
20	41	B	0	FALSE
20	488	W	1	FALSE
21	10	W	5	FALSE
21	15	A	1	FALSE
21	41	B	0	FALSE
21	44	A	2	FALSE
21	45	R	3	TRUE
21	46	W	4	FALSE
21	47	W	6	FALSE
21	48	W	7	FALSE
22	15	A	1	FALSE
22	41	B	1	FALSE
22	47	W	1	FALSE
22	49	A	2	FALSE
22	50	A	3	FALSE
22	51	A	4	FALSE
22	52	A	5	FALSE
22	54	W	3	FALSE
22	843	W	2	FALSE
23	15	A	1	FALSE
23	41	B	0	FALSE
23	44	W	5	FALSE
23	50	A	2	FALSE
23	55	A	3	FALSE
23	56	W	4	FALSE
24	12	R	1	FALSE
24	15	A	1	FALSE
24	41	B	0	FALSE
24	44	A	2	FALSE
25	2	W	1	FALSE
25	15	W	6	FALSE
25	22	W	33	FALSE
25	27	W	2	FALSE
25	32	W	29	FALSE
25	47	W	34	FALSE
25	59	W	21	FALSE
25	61	W	13	FALSE
25	67	W	7	FALSE
25	75	W	3	FALSE
25	76	W	8	FALSE
25	77	W	15	FALSE
25	78	W	4	FALSE
25	79	W	5	FALSE
25	80	W	14	FALSE
25	90	W	20	FALSE
25	96	W	30	FALSE
25	137	W	35	FALSE
25	147	W	26	FALSE
25	155	B	0	FALSE
25	156	R	11	FALSE
25	157	W	12	FALSE
25	166	R	10	FALSE
25	180	W	17	FALSE
25	182	W	16	FALSE
25	184	W	31	FALSE
25	195	W	19	FALSE
25	198	W	11	FALSE
25	233	R	7	FALSE
25	351	W	9	FALSE
25	356	W	32	FALSE
25	412	W	18	FALSE
25	576	W	10	FALSE
25	580	W	23	FALSE
25	611	W	24	FALSE
25	612	W	22	FALSE
25	613	W	25	FALSE
25	673	R	12	FALSE
25	742	R	13	FALSE
25	789	W	27	FALSE
25	795	W	28	FALSE
25	944	R	19	FALSE
25	1016	R	1	FALSE
25	1017	R	3	FALSE
25	1018	R	4	FALSE
25	1019	R	9	FALSE
25	1020	R	8	FALSE
25	1021	R	2	FALSE
25	1022	R	18	FALSE
25	1023	R	20	FALSE
25	1024	R	14	FALSE
25	1025	R	15	FALSE
25	1026	R	16	FALSE
25	1027	R	17	FALSE
25	1091	R	5	FALSE
25	1092	R	6	FALSE
26	12	R	1	FALSE
26	15	A	1	FALSE
26	41	B	1	FALSE
26	44	A	2	FALSE
26	56	W	1	FALSE
27	15	A	1	FALSE
27	41	B	0	FALSE
27	44	A	2	FALSE
27	56	W	1	FALSE
28	41	B	0	FALSE
28	44	A	1	FALSE
28	45	R	4	FALSE
28	57	R	2	FALSE
28	58	R	3	FALSE
29	41	B	0	FALSE
29	44	A	1	FALSE
29	45	R	2	FALSE
29	57	R	4	FALSE
29	58	R	3	FALSE
29	488	W	6	FALSE
30	2	W	1	FALSE
30	12	R	1	FALSE
30	15	W	5	FALSE
30	23	W	6	FALSE
30	27	R	2	FALSE
30	41	B	1	FALSE
30	47	W	12	FALSE
30	48	W	13	FALSE
30	56	W	2	FALSE
30	59	W	3	FALSE
30	60	W	7	FALSE
30	61	W	8	FALSE
30	62	W	9	FALSE
30	63	W	10	FALSE
30	64	W	11	FALSE
30	488	W	4	FALSE
31	15	R	1	FALSE
31	41	B	1	FALSE
31	44	W	3	FALSE
31	56	W	1	FALSE
31	65	W	4	FALSE
32	15	R	1	FALSE
32	41	B	0	FALSE
32	44	R	2	FALSE
32	56	R	3	FALSE
32	65	R	4	FALSE
33	41	B	0	FALSE
34	26	W	4	FALSE
34	32	W	2	FALSE
34	41	B	0	FALSE
34	45	R	1	FALSE
34	51	W	3	FALSE
35	2	R	4	FALSE
35	27	W	10	FALSE
35	49	W	18	FALSE
35	61	W	14	FALSE
35	66	B	0	FALSE
35	67	R	1	FALSE
35	68	R	2	FALSE
35	69	R	3	FALSE
35	70	R	5	FALSE
35	71	R	6	FALSE
35	72	R	7	FALSE
35	73	R	8	FALSE
35	74	R	9	FALSE
35	75	W	11	FALSE
35	76	W	12	FALSE
35	77	W	13	FALSE
35	78	W	15	FALSE
35	79	W	16	FALSE
35	80	W	17	FALSE
35	81	W	19	FALSE
35	82	W	20	FALSE
35	83	W	21	FALSE
35	84	W	22	FALSE
35	85	W	23	FALSE
36	2	R	1	FALSE
36	13	W	12	FALSE
36	20	W	21	FALSE
36	27	R	3	FALSE
36	61	W	6	FALSE
36	66	B	1	FALSE
36	67	R	2	FALSE
36	75	W	1	FALSE
36	76	W	2	FALSE
36	77	W	4	FALSE
36	78	R	8	FALSE
36	79	R	9	FALSE
36	80	W	5	FALSE
36	86	R	5	FALSE
36	87	R	6	FALSE
36	88	R	7	FALSE
36	89	W	3	FALSE
36	90	W	7	FALSE
36	91	W	8	FALSE
36	92	W	9	FALSE
36	93	W	10	FALSE
36	94	W	11	FALSE
36	95	W	13	FALSE
36	96	W	14	FALSE
36	97	W	15	FALSE
36	98	W	16	FALSE
36	99	W	17	FALSE
36	100	W	18	FALSE
36	101	W	19	FALSE
36	102	W	20	FALSE
36	103	R	4	FALSE
37	2	W	2	FALSE
37	74	W	1	FALSE
37	104	B	1	FALSE
37	105	R	1	FALSE
37	106	W	3	FALSE
37	107	W	4	FALSE
37	108	R	2	FALSE
37	109	R	3	FALSE
37	110	R	4	FALSE
37	111	R	5	FALSE
37	112	R	6	FALSE
37	113	R	7	FALSE
37	114	R	8	FALSE
37	115	R	9	FALSE
37	116	R	10	FALSE
37	117	R	11	FALSE
37	118	R	12	FALSE
37	119	R	13	FALSE
37	120	R	14	FALSE
37	121	R	15	FALSE
37	122	R	16	FALSE
37	123	R	17	FALSE
37	124	R	18	FALSE
37	125	R	19	FALSE
37	126	R	20	FALSE
37	127	R	21	FALSE
37	128	R	22	FALSE
37	129	R	23	FALSE
37	130	R	24	FALSE
37	131	R	25	FALSE
38	132	B	0	FALSE
38	133	A	1	FALSE
38	134	A	2	FALSE
38	135	R	1	FALSE
39	133	R	1	FALSE
39	136	B	0	FALSE
39	137	A	1	FALSE
39	138	A	2	TRUE
39	140	R	3	FALSE
40	1	B	0	FALSE
40	3	R	1	FALSE
40	12	R	2	FALSE
40	141	A	1	FALSE
41	1	B	0	FALSE
41	5	R	2	FALSE
41	142	A	1	FALSE
41	143	R	1	FALSE
42	1	B	0	FALSE
42	5	A	2	FALSE
42	143	A	1	FALSE
42	144	A	3	FALSE
42	145	R	1	FALSE
43	1	B	0	FALSE
43	5	R	2	FALSE
43	49	A	1	FALSE
43	147	A	2	FALSE
43	148	A	3	FALSE
43	149	R	1	FALSE
44	1	B	0	FALSE
44	5	R	1	FALSE
44	148	A	1	FALSE
44	149	R	3	FALSE
44	150	A	2	FALSE
44	151	R	2	FALSE
44	152	R	4	FALSE
44	153	R	5	FALSE
45	1	B	0	FALSE
45	5	R	1	FALSE
45	32	W	1	FALSE
45	154	A	1	FALSE
46	2	W	1	FALSE
46	27	W	2	FALSE
46	96	W	3	FALSE
46	155	B	0	FALSE
46	156	R	1	FALSE
46	157	W	4	FALSE
46	158	W	5	FALSE
47	2	R	2	FALSE
47	155	B	1	FALSE
47	159	R	1	FALSE
47	160	W	1	FALSE
47	161	W	2	FALSE
47	162	W	3	FALSE
47	163	W	4	FALSE
47	164	W	5	FALSE
47	166	W	6	FALSE
47	167	W	7	FALSE
47	168	W	8	FALSE
47	169	W	9	FALSE
47	170	W	10	FALSE
48	2	R	2	FALSE
48	137	W	2	FALSE
48	155	B	1	FALSE
48	171	R	1	FALSE
48	172	R	3	FALSE
48	173	R	4	FALSE
48	174	R	5	FALSE
48	175	R	6	FALSE
48	176	W	1	FALSE
49	2	R	3	FALSE
49	27	R	1	FALSE
49	177	B	0	FALSE
50	27	R	1	FALSE
50	177	B	0	FALSE
50	179	W	1	FALSE
50	180	W	2	FALSE
50	181	W	3	FALSE
50	182	W	4	FALSE
50	183	W	5	FALSE
50	184	W	6	FALSE
50	185	W	7	FALSE
50	187	W	8	FALSE
51	15	R	1	FALSE
51	51	A	2	FALSE
51	67	A	1	FALSE
51	188	B	0	FALSE
52	2	R	1	FALSE
52	15	A	1	FALSE
52	50	A	2	FALSE
52	188	B	0	FALSE
53	15	A	1	FALSE
53	51	A	4	FALSE
53	67	R	1	FALSE
53	147	A	2	FALSE
53	148	A	3	FALSE
53	188	B	0	FALSE
54	15	R	1	FALSE
54	50	A	2	FALSE
54	67	A	1	FALSE
54	188	B	0	FALSE
55	15	R	2	FALSE
55	50	A	1	FALSE
55	67	R	1	FALSE
55	188	B	0	FALSE
56	15	R	1	FALSE
56	67	A	1	FALSE
56	188	B	0	FALSE
57	157	W	1	FALSE
57	188	B	0	FALSE
57	189	W	2	FALSE
57	190	W	3	FALSE
58	15	R	1	FALSE
58	188	B	0	FALSE
59	12	R	3	FALSE
59	13	W	8	FALSE
59	47	W	9	FALSE
59	51	W	17	FALSE
59	67	W	1	FALSE
59	71	W	15	FALSE
59	148	W	5	FALSE
59	191	B	0	FALSE
59	192	R	1	FALSE
59	193	R	2	FALSE
59	194	W	2	FALSE
59	195	W	3	FALSE
59	196	W	4	FALSE
59	197	W	6	FALSE
59	198	W	7	FALSE
59	199	W	10	FALSE
59	200	W	11	FALSE
59	201	W	12	FALSE
59	202	W	13	FALSE
59	203	W	14	FALSE
59	204	W	16	FALSE
59	205	W	18	FALSE
60	15	A	1	FALSE
60	49	A	3	FALSE
60	50	R	2	FALSE
60	67	W	1	FALSE
60	147	A	4	FALSE
60	157	A	2	FALSE
60	191	B	0	FALSE
60	196	R	1	FALSE
60	206	R	3	FALSE
61	15	A	1	FALSE
61	50	A	2	FALSE
61	67	R	1	FALSE
61	148	A	3	FALSE
61	191	B	0	FALSE
62	2	R	1	FALSE
62	15	A	1	FALSE
62	50	A	2	FALSE
62	191	B	0	FALSE
63	2	W	1	FALSE
63	191	B	0	FALSE
63	207	R	1	FALSE
63	208	R	2	FALSE
63	209	R	3	FALSE
63	210	R	4	FALSE
63	211	R	5	FALSE
64	15	A	1	FALSE
64	50	A	2	FALSE
64	67	R	1	FALSE
64	147	A	3	FALSE
64	157	W	1	FALSE
64	191	B	0	FALSE
64	212	W	2	FALSE
64	213	W	3	FALSE
65	15	A	1	FALSE
65	20	R	2	FALSE
65	157	W	1	FALSE
65	191	B	0	FALSE
65	196	R	1	FALSE
65	212	A	2	FALSE
65	213	A	3	FALSE
65	214	R	3	FALSE
65	215	R	4	FALSE
66	2	W	1	FALSE
66	67	R	1	FALSE
66	185	W	3	FALSE
66	187	W	2	FALSE
66	216	B	1	FALSE
66	217	W	4	FALSE
66	218	W	5	FALSE
66	219	R	2	FALSE
66	220	R	3	FALSE
67	2	W	1	FALSE
67	67	W	2	FALSE
67	187	W	3	FALSE
67	216	B	0	FALSE
67	221	R	1	FALSE
68	2	W	1	FALSE
68	67	R	2	FALSE
68	82	R	1	FALSE
68	216	B	0	FALSE
68	222	R	3	FALSE
68	223	R	4	FALSE
68	224	W	2	FALSE
68	225	W	3	FALSE
69	2	R	4	FALSE
69	27	W	1	FALSE
69	79	W	3	FALSE
69	157	R	3	FALSE
69	216	B	0	FALSE
69	226	R	1	FALSE
69	227	R	2	FALSE
69	228	W	2	FALSE
70	2	R	2	FALSE
70	27	W	1	FALSE
70	187	W	2	FALSE
70	216	B	0	FALSE
70	229	R	1	FALSE
71	2	W	1	FALSE
71	27	W	2	FALSE
71	195	R	1	FALSE
71	216	B	0	FALSE
71	230	W	3	FALSE
71	231	W	4	FALSE
72	2	R	4	FALSE
72	157	R	5	FALSE
72	216	B	0	FALSE
72	232	R	1	FALSE
72	233	R	2	FALSE
72	234	R	3	FALSE
72	235	W	1	FALSE
73	2	W	1	FALSE
73	216	B	0	FALSE
73	236	R	1	FALSE
73	237	R	2	FALSE
74	2	R	5	FALSE
74	187	R	4	FALSE
74	216	B	0	FALSE
74	223	R	3	FALSE
74	238	R	1	FALSE
74	239	R	2	FALSE
74	240	W	1	FALSE
74	241	W	2	FALSE
75	12	R	1	FALSE
75	242	B	0	FALSE
75	243	W	1	FALSE
76	15	A	1	FALSE
76	47	R	1	FALSE
76	67	A	2	FALSE
76	244	B	0	FALSE
76	245	R	2	FALSE
76	246	R	3	FALSE
77	2	W	1	FALSE
77	157	R	1	FALSE
77	247	B	0	FALSE
78	12	R	3	FALSE
